pre_id,post_id,region,syn_type,syn_count
ADAL,ADAL,all,chemical,6
ADAL,ADAR,all,electrical,3
ADAL,ADFL,all,electrical,5
ADAL,ADLL,all,chemical,2
ADAL,AIAL,all,chemical,2
ADAL,AIBL,all,chemical,2
ADAL,AIBR,all,chemical,2
ADAL,ASHL,all,electrical,2
ADAL,AVAL,all,chemical,3
ADAL,AVAR,all,chemical,7
ADAL,AVBL,all,chemical,5
ADAL,AVBR,all,chemical,21
ADAL,AVDL,all,chemical,1
ADAL,AVDR,all,chemical,2
ADAL,AVDR,all,electrical,2
ADAL,AVEL,all,chemical,3
ADAL,AVJR,all,chemical,11
ADAL,OLQVL,all,electrical,4
ADAL,PVPL,all,chemical,1
ADAL,PVQL,all,electrical,4
ADAL,RICL,all,chemical,3
ADAL,RICR,all,chemical,1
ADAL,RIML,all,chemical,9
ADAL,RIPL,all,chemical,4
ADAL,SMDVR,all,chemical,3
ADAL,URAVL,all,chemical,1
ADAL,URXL,all,chemical,2
ADAR,ADAL,all,electrical,3
ADAR,ADFR,all,electrical,4
ADAR,AIBL,all,chemical,1
ADAR,AIBR,all,chemical,3
ADAR,ASHR,all,chemical,2
ADAR,ASHR,all,electrical,3
ADAR,AVAR,all,chemical,8
ADAR,AVBL,all,chemical,8
ADAR,AVBR,all,chemical,15
ADAR,AVDL,all,chemical,2
ADAR,AVDL,all,electrical,3
ADAR,AVDR,all,chemical,3
ADAR,AVEL,all,chemical,1
ADAR,AVJL,all,chemical,13
ADAR,PVQR,all,electrical,2
ADAR,PVR,all,chemical,6
ADAR,RIFR,all,chemical,1
ADAR,RIMR,all,chemical,15
ADAR,RIPR,all,chemical,9
ADAR,RIVR,all,chemical,5
ADAR,SMDVL,all,chemical,1
ADAR,URXR,all,chemical,2
ADAR,URYDR,all,chemical,2
ADEL,ADAL,all,chemical,1
ADEL,ADEL,all,chemical,2
ADEL,ADER,all,chemical,5
ADEL,AINL,all,electrical,2
ADEL,ALML,all,chemical,1
ADEL,AVAL,all,chemical,7
ADEL,AVAR,all,chemical,9
ADEL,AVDL,all,chemical,2
ADEL,AVEL,all,chemical,3
ADEL,AVHL,all,chemical,2
ADEL,AVL,all,chemical,1
ADEL,BDUL,all,chemical,1
ADEL,CEPDL,all,chemical,1
ADEL,CEPVL,all,chemical,1
ADEL,FLPL,all,chemical,4
ADEL,IL1L,all,chemical,3
ADEL,IL2L,all,chemical,5
ADEL,IL2L,all,electrical,2
ADEL,OLLL,all,chemical,6
ADEL,RIAL,all,chemical,2
ADEL,RIFL,all,chemical,1
ADEL,RIGL,all,chemical,18
ADEL,RIGR,all,chemical,15
ADEL,RIGR,all,electrical,1
ADEL,RIH,all,chemical,3
ADEL,RIVL,all,chemical,2
ADEL,RIVR,all,chemical,2
ADEL,RMDDR,all,electrical,1
ADEL,RMDL,all,chemical,11
ADEL,RMER,all,chemical,1
ADEL,RMER,all,electrical,1
ADEL,RMGL,all,chemical,7
ADEL,RMHL,all,chemical,1
ADEL,RMHR,all,chemical,2
ADEL,SAADR,all,chemical,1
ADEL,SIADR,all,chemical,2
ADEL,SIBDL,all,electrical,1
ADEL,SIBDR,all,chemical,2
ADEL,SIBVL,all,electrical,1
ADEL,SMBDR,all,chemical,1
ADEL,SMBVL,all,chemical,2
ADEL,URBL,all,chemical,2
ADEL,VB1,all,chemical,2
ADER,ADAR,all,chemical,1
ADER,ADEL,all,chemical,3
ADER,AINR,all,electrical,4
ADER,ALNR,all,chemical,1
ADER,ALNR,all,electrical,2
ADER,ASIR,all,chemical,1
ADER,AVAL,all,chemical,9
ADER,AVAR,all,chemical,4
ADER,AVDR,all,chemical,5
ADER,AVER,all,chemical,4
ADER,AVJR,all,chemical,1
ADER,AVJR,all,electrical,1
ADER,AVKL,all,electrical,4
ADER,CEPDR,all,chemical,5
ADER,CEPVR,all,chemical,1
ADER,FLPL,all,chemical,1
ADER,FLPR,all,chemical,4
ADER,FLPR,all,electrical,4
ADER,IL1R,all,chemical,1
ADER,IL2R,all,chemical,1
ADER,OLLR,all,chemical,3
ADER,PVM,all,electrical,1
ADER,PVQR,all,electrical,2
ADER,RIAR,all,chemical,1
ADER,RIGL,all,chemical,12
ADER,RIGR,all,chemical,11
ADER,RMDL,all,chemical,1
ADER,RMDR,all,chemical,6
ADER,RMGR,all,chemical,5
ADER,SMDVR,all,chemical,1
ADER,URBR,all,chemical,1
ADER,URXR,all,chemical,2
ADFL,ADAL,all,chemical,2
ADFL,ADAL,all,electrical,5
ADFL,ADLL,all,chemical,1
ADFL,AFDL,all,chemical,1
ADFL,AFDL,all,electrical,3
ADFL,AIAL,all,chemical,2
ADFL,AIBL,all,chemical,2
ADFL,AIBR,all,chemical,1
ADFL,AIZL,all,chemical,39
ADFL,AIZL,all,electrical,1
ADFL,ASHL,all,electrical,1
ADFL,AUAL,all,chemical,12
ADFL,AWBL,all,chemical,2
ADFL,AWCL,all,electrical,1
ADFL,AWCR,all,chemical,2
ADFL,RIAL,all,chemical,46
ADFL,RIAL,all,electrical,1
ADFL,RIBL,all,chemical,4
ADFL,RIGL,all,chemical,4
ADFL,RIGR,all,chemical,1
ADFL,RIPL,all,electrical,2
ADFL,RIR,all,chemical,4
ADFL,RIVL,all,chemical,1
ADFL,SMBDL,all,chemical,1
ADFL,SMBVL,all,chemical,9
ADFL,SMDVL,all,chemical,1
ADFL,URBL,all,electrical,1
ADFL,URXL,all,chemical,1
ADFR,ADAR,all,chemical,4
ADFR,ADAR,all,electrical,4
ADFR,ADFR,all,chemical,1
ADFR,AFDR,all,chemical,1
ADFR,AFDR,all,electrical,5
ADFR,AIAR,all,electrical,4
ADFR,AIYR,all,chemical,2
ADFR,AIZR,all,chemical,37
ADFR,ASGR,all,electrical,1
ADFR,ASHR,all,chemical,6
