neuron_id,super_class,class,cell_type,side,nt_type,nt_score
ADAL,interneuron,Layer 3 interneuron,ADA,left,GLUT,1.0
ADAR,interneuron,Layer 3 interneuron,ADA,right,GLUT,1.0
ADEL,sensory,Sensory neuron (mechanosensory),ADE,left,,
ADER,sensory,Sensory neuron (mechanosensory),ADE,right,,
ADFL,sensory,Sensory neuron (amphid),ADF,left,ACH,1.0
ADFR,sensory,Sensory neuron (amphid),ADF,right,ACH,1.0
ADLL,sensory,"Sensory neuron (amphid, nociceptive)",ADL,left,GLUT,1.0
ADLR,sensory,"Sensory neuron (amphid, nociceptive)",ADL,right,GLUT,1.0
AFDL,sensory,Sensory neuron (amphid),AFD,left,ACH,0.5
AFDR,sensory,Sensory neuron (amphid),AFD,right,ACH,0.5
AIAL,interneuron,Layer 3 interneuron,AIA,left,ACH,1.0
AIAR,interneuron,Layer 3 interneuron,AIA,right,ACH,1.0
AIBL,interneuron,Layer 2 interneuron,AIB,left,GLUT,1.0
AIBR,interneuron,Layer 2 interneuron,AIB,right,GLUT,1.0
AIML,interneuron,Category 4 interneuron,AIM,left,GLUT,1.0
AIMR,interneuron,Category 4 interneuron,AIM,right,GLUT,1.0
AINL,interneuron,Category 4 interneuron,AIN,left,ACH,1.0
AINR,interneuron,Category 4 interneuron,AIN,right,ACH,1.0
AIYL,interneuron,Layer 3 interneuron,AIY,left,ACH,1.0
AIYR,interneuron,Layer 3 interneuron,AIY,right,ACH,1.0
AIZL,interneuron,Layer 3 interneuron,AIZ,left,GLUT,1.0
AIZR,interneuron,Layer 3 interneuron,AIZ,right,GLUT,1.0
ALA,interneuron,Layer 3 interneuron,ALA,center,GABA,1.0
ALML,sensory,Sensory neuron (mechanosensory),ALM,left,GLUT,1.0
ALMR,sensory,Sensory neuron (mechanosensory),ALM,right,GLUT,1.0
ALNL,sensory,Sensory neuron (touch),ALN,left,ACH,1.0
ALNR,sensory,Sensory neuron (touch),ALN,right,ACH,1.0
AQR,sensory,Sensory neuron (touch),AQR,center,GLUT,1.0
AS1,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS10,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS11,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS2,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS3,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS4,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS5,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS6,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS7,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS8,motor,Ventral cord motor neuron,AS,center,ACH,1.0
AS9,motor,Ventral cord motor neuron,AS,center,ACH,1.0
ASEL,sensory,Sensory neuron (amphid),ASE,left,GLUT,1.0
ASER,sensory,Sensory neuron (amphid),ASE,right,GLUT,1.0
ASGL,sensory,Sensory neuron (amphid),ASG,left,GLUT,1.0
ASGR,sensory,Sensory neuron (amphid),ASG,right,GLUT,1.0
ASHL,sensory,"Sensory neuron (amphid, nociceptive)",ASH,left,GLUT,1.0
ASHR,sensory,"Sensory neuron (amphid, nociceptive)",ASH,right,GLUT,1.0
ASIL,sensory,Sensory neuron (amphid),ASI,left,BET,1.0
ASIR,sensory,Sensory neuron (amphid),ASI,right,BET,1.0
ASJL,sensory,Sensory neuron (amphid),ASJ,left,ACH,1.0
ASJR,sensory,Sensory neuron (amphid),ASJ,right,ACH,1.0
ASKL,sensory,Sensory neuron (amphid),ASK,left,GLUT,1.0
ASKR,sensory,Sensory neuron (amphid),ASK,right,GLUT,1.0
AUAL,interneuron,Layer 3 interneuron,AUA,left,GLUT,0.5
AUAR,interneuron,Layer 3 interneuron,AUA,right,GLUT,0.5
AVAL,interneuron,Layer 1 interneuron,AVA,left,ACH,1.0
AVAR,interneuron,Layer 1 interneuron,AVA,right,ACH,1.0
AVBL,interneuron,Layer 1 interneuron,AVB,left,ACH,1.0
AVBR,interneuron,Layer 1 interneuron,AVB,right,ACH,1.0
AVDL,interneuron,Layer 2 interneuron,AVD,left,ACH,1.0
AVDR,interneuron,Layer 2 interneuron,AVD,right,ACH,1.0
AVEL,interneuron,Layer 1 interneuron,AVE,left,ACH,1.0
AVER,interneuron,Layer 1 interneuron,AVE,right,ACH,1.0
AVFL,interneuron,Layer 3 interneuron,AVF,left,,
AVFR,interneuron,Layer 3 interneuron,AVF,right,,
AVG,interneuron,Layer 3 interneuron,AVG,center,ACH,1.0
AVHL,interneuron,Layer 3 interneuron,AVH,left,,
AVHR,interneuron,Layer 3 interneuron,AVH,right,,
AVJL,interneuron,Layer 2 interneuron,AVJ,left,GABA,1.0
AVJR,interneuron,Layer 2 interneuron,AVJ,right,GABA,1.0
AVKL,interneuron,Layer 2 interneuron,AVK,left,,
AVKR,interneuron,Layer 2 interneuron,AVK,right,,
AVL,interneuron,Layer 2 interneuron,AVL,center,GABA,1.0
AVM,sensory,Sensory neuron (mechanosensory),AVM,center,GLUT,1.0
AWAL,sensory,Sensory neuron (amphid),AWA,left,ACH,1.0
AWAR,sensory,Sensory neuron (amphid),AWA,right,ACH,1.0
AWBL,sensory,Sensory neuron (amphid),AWB,left,ACH,1.0
AWBR,sensory,Sensory neuron (amphid),AWB,right,ACH,1.0
AWCL,sensory,Sensory neuron (amphid),AWC,left,GLUT,1.0
AWCR,sensory,Sensory neuron (amphid),AWC,right,GLUT,1.0
BAGL,sensory,"Sensory neuron (O2, CO2, social signals, touch)",BAG,left,GLUT,1.0
BAGR,sensory,"Sensory neuron (O2, CO2, social signals, touch)",BAG,right,GLUT,1.0
BDUL,interneuron,Layer 3 interneuron,BDU,left,,
BDUR,interneuron,Layer 3 interneuron,BDU,right,,
CANL,other,Canal neuron,CAN,left,,
CANR,other,Canal neuron,CAN,right,,
CEPDL,sensory,Sensory neuron (cephalic),CEPD,left,,
CEPDR,sensory,Sensory neuron (cephalic),CEPD,right,,
CEPVL,sensory,Sensory neuron (cephalic),CEPV,left,,
CEPVR,sensory,Sensory neuron (cephalic),CEPV,right,,
DA1,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA2,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA3,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA4,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA5,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA6,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA7,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA8,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DA9,motor,Ventral cord motor neuron,DA,center,ACH,1.0
DB1,motor,Ventral cord motor neuron,DB,center,ACH,1.0
DB2,motor,Ventral cord motor neuron,DB,center,ACH,1.0
DB3,motor,Ventral cord motor neuron,DB,center,ACH,1.0
DB4,motor,Ventral cord motor neuron,DB,center,ACH,1.0
DB5,motor,Ventral cord motor neuron,DB,center,ACH,1.0
DB6,motor,Ventral cord motor neuron,DB,center,ACH,1.0
DB7,motor,Ventral cord motor neuron,DB,center,ACH,1.0
DD1,motor,Ventral cord motor neuron,DD,center,GABA,1.0
DD2,motor,Ventral cord motor neuron,DD,center,GABA,1.0
DD3,motor,Ventral cord motor neuron,DD,center,GABA,1.0
DD4,motor,Ventral cord motor neuron,DD,center,,
DD5,motor,Ventral cord motor neuron,DD,center,,
DD6,motor,Ventral cord motor neuron,DD,center,GABA,1.0
DVA,sensory,Sensory neuron (mechanosensory),DVA,center,ACH,0.5
DVB,interneuron,Layer 3 interneuron,DVB,center,GABA,1.0
DVC,interneuron,Layer 2 interneuron,DVC,center,GLUT,1.0
FLPL,sensory,Sensory neuron (mechanosensory),FLP,left,GLUT,1.0
FLPR,sensory,Sensory neuron (mechanosensory),FLP,right,GLUT,1.0
HSNL,motor,Hermaphrodite specific motor neuron,HSN,left,ACH,1.0
HSNR,motor,Hermaphrodite specific motor neuron,HSN,right,ACH,1.0
I1L,interneuron,Pharyngeal interneuron,I1,left,ACH,1.0
I1R,interneuron,Pharyngeal interneuron,I1,right,ACH,1.0
I2L,interneuron,Pharyngeal interneuron,I2,left,GLUT,1.0
I2R,interneuron,Pharyngeal interneuron,I2,right,GLUT,1.0
I3,interneuron,Pharyngeal interneuron,I3,center,ACH,1.0
I4,interneuron,Pharyngeal interneuron,I4,center,GLUT,1.0
I5,interneuron,Pharyngeal interneuron,I5,center,GLUT,1.0
I6,interneuron,Pharyngeal interneuron,I6,center,,
IL1DL,sensory,Sensory neuron (cephalic),IL1D,left,GLUT,1.0
IL1DR,sensory,Sensory neuron (cephalic),IL1D,right,GLUT,1.0
IL1L,sensory,Sensory neuron (cephalic),IL1,left,GLUT,1.0
IL1R,sensory,Sensory neuron (cephalic),IL1,right,GLUT,1.0
IL1VL,sensory,Sensory neuron (cephalic),IL1V,left,GLUT,1.0
IL1VR,sensory,Sensory neuron (cephalic),IL1V,right,GLUT,1.0
IL2DL,sensory,Sensory neuron (cephalic),IL2D,left,ACH,1.0
IL2DR,sensory,Sensory neuron (cephalic),IL2D,right,ACH,1.0
IL2L,sensory,Sensory neuron (cephalic),IL2,left,ACH,1.0
IL2R,sensory,Sensory neuron (cephalic),IL2,right,ACH,1.0
IL2VL,sensory,Sensory neuron (cephalic),IL2V,left,ACH,1.0
