pre_id,post_id,region,syn_type,syn_count
720575940602483424,720575940607909899,all,chemical,1
720575940602483424,720575940635116569,all,chemical,19
720575940602483424,720575940619148829,all,chemical,1
720575940602483424,720575940612014120,all,chemical,7
720575940602483424,720575940647935028,all,chemical,1
720575940602483424,720575940627016766,all,chemical,3
720575940602483424,720575940619592768,all,chemical,3
720575940602483424,720575940630548035,all,chemical,1
720575940602483424,720575940629256779,all,chemical,1
720575940602483424,720575940633746515,all,chemical,106
720575940602483424,720575940634458719,all,chemical,29
720575940602483424,720575940635028591,all,chemical,39
720575940602483424,720575940626591875,all,chemical,2
720575940602483424,720575940621460115,all,chemical,1
720575940602483424,720575940643347616,all,chemical,9
720575940602483424,720575940611347123,all,chemical,14
720575940602483424,720575940636479668,all,chemical,1
720575940602483424,720575940625049781,all,chemical,2
720575940602483424,720575940619734219,all,chemical,1
720575940602483424,720575940613243089,all,chemical,6
720575940602483424,720575940623324395,all,chemical,2
720575940602483424,720575940618455791,all,chemical,3
720575940602483424,720575940629249783,all,chemical,1
720575940602483424,720575940622324991,all,chemical,1
720575940602483424,720575940624395528,all,chemical,1
720575940602483424,720575940630637330,all,chemical,3
720575940602483424,720575940615092019,all,chemical,2
720575940602483424,720575940637602621,all,chemical,1
720575940602483424,720575940627796298,all,chemical,1
720575940602483424,720575940622786380,all,chemical,2
720575940602483424,720575940610313570,all,chemical,1
720575940602483424,720575940635872101,all,chemical,16
720575940602483424,720575940613824370,all,chemical,20
720575940602483424,720575940622860680,all,chemical,1
720575940602483424,720575940624269706,all,chemical,3
720575940602483424,720575940635106202,all,chemical,7
720575940602483424,720575940643683744,all,chemical,2
720575940602483424,720575940613867938,all,chemical,55
720575940602483424,720575940636573108,all,chemical,23
720575940602483424,720575940624208824,all,chemical,1
720575940602483424,720575940616951739,all,chemical,2
720575940602483424,720575940611186126,all,chemical,1
720575940602483424,720575940623953900,all,chemical,6
720575940602483424,720575940625673196,all,chemical,2
720575940602483424,720575940641363957,all,chemical,1
720575940602483424,720575940653399030,all,chemical,2
720575940602718432,720575940622932487,all,chemical,1
720575940602718432,720575940626663953,all,chemical,12
720575940602718432,720575940631418386,all,chemical,1
720575940602718432,720575940646094359,all,chemical,1
720575940602718432,720575940623113752,all,chemical,3
720575940602718432,720575940635089945,all,chemical,17
720575940602718432,720575940617991195,all,chemical,26
720575940602718432,720575940617613858,all,chemical,1
720575940602718432,720575940623380009,all,chemical,5
720575940602718432,720575940622339113,all,chemical,1
720575940602718432,720575940630072364,all,chemical,2
720575940602718432,720575940618965553,all,chemical,1
720575940602718432,720575940615026739,all,chemical,3
720575940602718432,720575940637458997,all,chemical,1
720575940602718432,720575940618886710,all,chemical,67
720575940602718432,720575940628847164,all,chemical,1
720575940602718432,720575940609162820,all,chemical,3
720575940602718432,720575940617499205,all,chemical,2
720575940602718432,720575940627645514,all,chemical,14
720575940602718432,720575940629256779,all,chemical,40
720575940602718432,720575940618987600,all,chemical,15
720575940602718432,720575940632080977,all,chemical,2
720575940602718432,720575940633746515,all,chemical,1
720575940602718432,720575940617886301,all,chemical,2
720575940602718432,720575940635119723,all,chemical,1
720575940602718432,720575940635028591,all,chemical,10
720575940602718432,720575940641211520,all,chemical,2
720575940602718432,720575940622657684,all,chemical,1
720575940602718432,720575940625656980,all,chemical,11
720575940602718432,720575940632310940,all,chemical,6
720575940602718432,720575940654777505,all,chemical,3
720575940602718432,720575940640834211,all,chemical,2
720575940602718432,720575940620813989,all,chemical,5
720575940602718432,720575940620054694,all,chemical,8
720575940602718432,720575940621640363,all,chemical,1
720575940602718432,720575940628641127,all,chemical,4
720575940602718432,720575940604954289,all,chemical,13
720575940602718432,720575940636479668,all,chemical,1
720575940602718432,720575940623957173,all,chemical,1
720575940602718432,720575940625049781,all,chemical,3
720575940602718432,720575940618444473,all,chemical,4
720575940602718432,720575940640172221,all,chemical,1
720575940602718432,720575940619822784,all,chemical,2
720575940602718432,720575940619734219,all,chemical,1
720575940602718432,720575940631779532,all,chemical,1
720575940602718432,720575940630822607,all,chemical,2
720575940602718432,720575940612001489,all,chemical,1
720575940602718432,720575940618340057,all,chemical,7
720575940602718432,720575940611080922,all,chemical,1
720575940602718432,720575940634646753,all,chemical,9
720575940602718432,720575940623860458,all,chemical,3
720575940602718432,720575940629358321,all,chemical,19
720575940602718432,720575940629249783,all,chemical,61
720575940602718432,720575940622324991,all,chemical,15
720575940602718432,720575940617442561,all,chemical,28
720575940602718432,720575940623781127,all,chemical,27
720575940602718432,720575940624358152,all,chemical,1
720575940602718432,720575940624395528,all,chemical,3
720575940602718432,720575940631283471,all,chemical,1
720575940602718432,720575940628355856,all,chemical,4
720575940602718432,720575940628793621,all,chemical,5
720575940602718432,720575940630637330,all,chemical,1
720575940602718432,720575940628437291,all,chemical,122
720575940602718432,720575940625345328,all,chemical,1
720575940602718432,720575940616670016,all,chemical,2
720575940602718432,720575940627796298,all,chemical,7
720575940602718432,720575940630258003,all,chemical,1
720575940602718432,720575940626783065,all,chemical,2
720575940602718432,720575940605074278,all,chemical,2
720575940602718432,720575940631383400,all,chemical,4
720575940602718432,720575940628436839,all,chemical,1
