neuron_id,super_class,class,cell_type,side,nt_type,nt_score,x,y,z
720575940602353632,sensory,gustatory,LB1c,left,ACH,0.7,511.5,326.4,117.0
720575940602483424,visual_projection,,LC31b,left,ACH,0.82,388.7,242.6,184.8
720575940603266592,sensory,gustatory,LB1c,right,SER,0.41,573.4,371.5,118.7
720575940603452384,visual_projection,,LC16,left,ACH,0.57,387.0,275.9,160.9
720575940603637438,visual_projection,,LC4,right,ACH,0.67,672.8,289.1,125.2
720575940603804350,central,,PLP018,right,GABA,0.75,655.0,314.4,73.9
720575940603817900,visual_projection,,LPLC1,right,ACH,0.69,677.9,223.5,176.8
720575940603825120,central,,PVLP008,left,GLUT,0.76,385.9,127.7,109.3
720575940603832288,sensory,olfactory,ORN_DA2,right,ACH,0.55,574.0,225.0,7.1
720575940603942828,central,,PVLP112a,right,GABA,0.86,671.5,211.8,181.0
720575940603989420,visual_projection,,LPLC2,left,ACH,0.5,346.7,179.7,194.2
720575940604016608,visual_projection,,LPLC1,right,ACH,0.7,705.8,207.6,171.3
720575940604018208,sensory,gustatory,LB3,left,ACH,0.37,496.7,329.4,118.9
720575940604027168,sensory,gustatory,"LB1a,LB1d",left,ACH,0.41,464.5,373.2,134.9
720575940604088288,central,,AVLP016,right,GLUT,0.46,716.9,167.2,117.4
720575940604165856,central,,VES007,left,ACH,0.84,472.6,214.0,124.6
720575940604285356,central,,CB3513b,right,GABA,0.68,629.0,237.7,131.5
720575940604337696,visual_projection,,LC16,left,ACH,0.51,377.2,290.9,145.9
720575940604403628,central,ALPN,VP5+VP3_l2PN,right,ACH,0.88,591.2,276.5,73.9
720575940604470240,central,,CB0626,right,GABA,0.85,551.2,284.9,116.9
720575940604590048,sensory,gustatory,LB3,right,ACH,0.47,553.8,342.0,110.6
720575940604609056,visual_projection,,LPLC4,right,ACH,0.76,700.7,189.1,176.6
720575940604624998,central,,PVLP113,right,GABA,0.73,671.3,213.5,179.3
720575940604714528,sensory,gustatory,LB1c,right,SER,0.31,569.3,371.4,118.5
720575940604737708,descending,,DNa02,right,ACH,0.79,612.1,170.2,83.4
720575940604749758,visual_projection,,LC16,left,ACH,0.56,377.2,287.2,150.4
720575940604954289,descending,,DNp04,left,ACH,0.82,421.7,234.1,137.2
720575940605162924,descending,,DNpe030,right,ACH,0.56,612.4,182.5,196.4
720575940605218220,central,,CB0200,right,GLUT,0.58,615.9,338.0,110.6
720575940605242242,visual_projection,,LC16,right,ACH,0.66,663.7,305.3,125.3
720575940605328230,sensory,olfactory,ORN_DM1,left,SER,0.44,485.8,234.9,21.3
720575940605400096,central,ALPN,M_l2PNm16,right,ACH,0.94,587.7,272.2,61.7
720575940605598892,visual_projection,,LC4,left,ACH,0.54,366.0,269.2,157.4
720575940605758142,central,ALLN,lLN2F_a,right,GABA,0.36,610.9,236.9,40.0
720575940605825666,visual_projection,,LPLC2,right,ACH,0.63,678.8,223.1,176.8
720575940606001074,sensory,olfactory,ORN_DM1,left,ACH,0.41,428.4,257.3,32.2
