pre_id,post_id,region,syn_type,syn_count
720575940602483424,720575940633560089,all,chemical,1
720575940602483424,720575940619148829,all,chemical,1
720575940602483424,720575940647935028,all,chemical,1
720575940602483424,720575940619592768,all,chemical,3
720575940602483424,720575940622234689,all,chemical,3
720575940602483424,720575940629256779,all,chemical,1
720575940602483424,720575940633746515,all,chemical,106
720575940602483424,720575940634458719,all,chemical,29
720575940602483424,720575940635631211,all,chemical,1
720575940602483424,720575940646518382,all,chemical,2
720575940602483424,720575940635028591,all,chemical,39
720575940602483424,720575940644639342,all,chemical,10
720575940602483424,720575940611746418,all,chemical,2
720575940602483424,720575940621460115,all,chemical,1
720575940602483424,720575940643347616,all,chemical,9
720575940602483424,720575940606726834,all,chemical,10
720575940602483424,720575940611347123,all,chemical,14
720575940602483424,720575940613221585,all,chemical,2
720575940602483424,720575940618135256,all,chemical,6
720575940602483424,720575940618455791,all,chemical,3
720575940602483424,720575940629249783,all,chemical,1
720575940602483424,720575940622324991,all,chemical,1
720575940602483424,720575940624395528,all,chemical,1
720575940602483424,720575940615092019,all,chemical,2
720575940602483424,720575940629177655,all,chemical,14
720575940602483424,720575940630420281,all,chemical,1
720575940602483424,720575940627796298,all,chemical,1
720575940602483424,720575940635872101,all,chemical,16
720575940602483424,720575940628561767,all,chemical,1
720575940602483424,720575940643783534,all,chemical,2
720575940602483424,720575940624269706,all,chemical,3
720575940602483424,720575940632648602,all,chemical,4
720575940602483424,720575940613867938,all,chemical,55
720575940602483424,720575940624208824,all,chemical,1
720575940602483424,720575940616951739,all,chemical,2
720575940602483424,720575940623426013,all,chemical,7
720575940602483424,720575940623953900,all,chemical,6
720575940602483424,720575940625673196,all,chemical,2
720575940602483424,720575940611934706,all,chemical,20
720575940602483424,720575940641363957,all,chemical,1
720575940603452384,720575940618566657,all,chemical,1
720575940603452384,720575940620512261,all,chemical,1
720575940603452384,720575940631233581,all,chemical,1
720575940603452384,720575940618965553,all,chemical,1
720575940603452384,720575940621535809,all,chemical,1
720575940603452384,720575940611772514,all,chemical,5
720575940603452384,720575940634916453,all,chemical,1
720575940603452384,720575940625307748,all,chemical,1
720575940603452384,720575940611622002,all,chemical,2
720575940603452384,720575940622523508,all,chemical,1
720575940603452384,720575940620903551,all,chemical,1
720575940603452384,720575940645700228,all,chemical,1
720575940603452384,720575940623784596,all,chemical,4
720575940603452384,720575940620813989,all,chemical,1
720575940603452384,720575940618460857,all,chemical,1
720575940603452384,720575940629996741,all,chemical,1
720575940603452384,720575940610739918,all,chemical,2
720575940603452384,720575940610152661,all,chemical,1
720575940603452384,720575940617277145,all,chemical,2
720575940603452384,720575940613369586,all,chemical,1
720575940603452384,720575940650937078,all,chemical,1
720575940603452384,720575940629382903,all,chemical,3
720575940603452384,720575940630460663,all,chemical,1
720575940603452384,720575940631122191,all,chemical,2
720575940603452384,720575940622319913,all,chemical,1
720575940603452384,720575940647966004,all,chemical,1
720575940603452384,720575940630308163,all,chemical,1
720575940603452384,720575940616044869,all,chemical,1
720575940603452384,720575940637952846,all,chemical,1
720575940603452384,720575940640868184,all,chemical,1
720575940603452384,720575940620490093,all,chemical,1
720575940603452384,720575940630357886,all,chemical,2
720575940603452384,720575940607924098,all,chemical,1
720575940603452384,720575940626371465,all,chemical,1
720575940603452384,720575940615391638,all,chemical,5
720575940603452384,720575940626041240,all,chemical,1
720575940603452384,720575940635559322,all,chemical,1
720575940603452384,720575940640762275,all,chemical,2
720575940603452384,720575940626887080,all,chemical,1
720575940603452384,720575940623368629,all,chemical,1
720575940603452384,720575940623179703,all,chemical,1
720575940603452384,720575940604749758,all,chemical,1
720575940603452384,720575940617276889,all,chemical,1
720575940603452384,720575940603825120,all,chemical,13
720575940603452384,720575940637073897,all,chemical,1
720575940603452384,720575940620719600,all,chemical,1
720575940603452384,720575940626742769,all,chemical,1
720575940603452384,720575940619207664,all,chemical,1
720575940603637438,720575940628251146,all,chemical,7
720575940603637438,720575940613609484,all,chemical,1
720575940603637438,720575940628884496,all,chemical,1
720575940603637438,720575940618932763,all,chemical,1
720575940603637438,720575940622339113,all,chemical,3
720575940603637438,720575940629478956,all,chemical,1
720575940603637438,720575940632499757,all,chemical,8
720575940603637438,720575940613025331,all,chemical,2
720575940603637438,720575940647952948,all,chemical,1
720575940603637438,720575940647966260,all,chemical,1
720575940603637438,720575940630733884,all,chemical,2
720575940603637438,720575940625194558,all,chemical,10
720575940603637438,720575940619601488,all,chemical,3
720575940603637438,720575940632381536,all,chemical,11
720575940603637438,720575940622996579,all,chemical,1
720575940603637438,720575940604624998,all,chemical,1
720575940603637438,720575940629757036,all,chemical,11
720575940603637438,720575940636789360,all,chemical,1
720575940603637438,720575940637952624,all,chemical,12
720575940603637438,720575940611644529,all,chemical,5
720575940603637438,720575940611602552,all,chemical,9
720575940603637438,720575940629777018,all,chemical,14
720575940603637438,720575940660051073,all,chemical,3
720575940603637438,720575940623276168,all,chemical,5
720575940603637438,720575940616111243,all,chemical,2
720575940603637438,720575940626977947,all,chemical,1
720575940603637438,720575940633318044,all,chemical,1
720575940603637438,720575940624915128,all,chemical,2
720575940603637438,720575940625556668,all,chemical,2
720575940603637438,720575940615232217,all,chemical,2
720575940603637438,720575940621145821,all,chemical,1
720575940603637438,720575940612752611,all,chemical,7
720575940603637438,720575940615528678,all,chemical,16
720575940603637438,720575940614492397,all,chemical,1
720575940603637438,720575940635047672,all,chemical,1
720575940603637438,720575940628579066,all,chemical,1
720575940603637438,720575940626009852,all,chemical,3
720575940603637438,720575940624790781,all,chemical,1
720575940603637438,720575940629192975,all,chemical,2
720575940603637438,720575940634823449,all,chemical,4
720575940603637438,720575940624231719,all,chemical,1
720575940603637438,720575940631693610,all,chemical,4
720575940603637438,720575940647882548,all,chemical,1
720575940603637438,720575940618522433,all,chemical,3
720575940603637438,720575940608083780,all,chemical,1
720575940603637438,720575940614311746,all,chemical,31
720575940603637438,720575940627111752,all,chemical,2
720575940603637438,720575940628678991,all,chemical,2
720575940603637438,720575940618266459,all,chemical,1
720575940603637438,720575940634356587,all,chemical,1
720575940603637438,720575940650935673,all,chemical,2
720575940603637438,720575940641213824,all,chemical,1
720575940603637438,720575940606693297,all,chemical,2
720575940603637438,720575940626046919,all,chemical,1
720575940603637438,720575940641188304,all,chemical,7
720575940603637438,720575940631176151,all,chemical,1
720575940603637438,720575940611085274,all,chemical,15
720575940603637438,720575940621415389,all,chemical,2
720575940603637438,720575940614614495,all,chemical,4
720575940603637438,720575940604088288,all,chemical,1
720575940603637438,720575940604016608,all,chemical,2
720575940603637438,720575940638900713,all,chemical,3
720575940603637438,720575940620468718,all,chemical,9
720575940603637438,720575940653213174,all,chemical,1
720575940603804350,720575940628884496,all,chemical,2
720575940603804350,720575940629768722,all,chemical,6
720575940603804350,720575940610980374,all,chemical,1
720575940603804350,720575940618932763,all,chemical,1
720575940603804350,720575940626818085,all,chemical,9
720575940603804350,720575940622339113,all,chemical,5
720575940603804350,720575940629638186,all,chemical,1
720575940603804350,720575940632499757,all,chemical,7
720575940603804350,720575940626861104,all,chemical,1
720575940603804350,720575940616509494,all,chemical,1
720575940603804350,720575940630733884,all,chemical,398
720575940603804350,720575940624287821,all,chemical,6
720575940603804350,720575940629256779,all,chemical,1
720575940603804350,720575940631534161,all,chemical,2
720575940603804350,720575940638910040,all,chemical,24
720575940603804350,720575940622996579,all,chemical,2
720575940603804350,720575940604624998,all,chemical,14
720575940603804350,720575940629437545,all,chemical,14
720575940603804350,720575940611644529,all,chemical,25
720575940603804350,720575940611169394,all,chemical,5
720575940603804350,720575940611602552,all,chemical,3
720575940603804350,720575940629777018,all,chemical,19
720575940603804350,720575940627717246,all,chemical,6
720575940603804350,720575940627083397,all,chemical,67
720575940603804350,720575940635917966,all,chemical,1
720575940603804350,720575940618314897,all,chemical,10
720575940603804350,720575940615043222,all,chemical,2
720575940603804350,720575940626977947,all,chemical,1
720575940603804350,720575940633350812,all,chemical,3
720575940603804350,720575940633318044,all,chemical,1
720575940603804350,720575940627231400,all,chemical,27
720575940603804350,720575940627094696,all,chemical,10
720575940603804350,720575940604737708,all,chemical,1
720575940603804350,720575940633995949,all,chemical,81
720575940603804350,720575940611347123,all,chemical,2
720575940603804350,720575940640168637,all,chemical,2
720575940603804350,720575940639278781,all,chemical,1
720575940603804350,720575940619822784,all,chemical,1
720575940603804350,720575940627717314,all,chemical,9
720575940603804350,720575940641706184,all,chemical,1
720575940603804350,720575940624238282,all,chemical,1
720575940603804350,720575940620351691,all,chemical,1
720575940603804350,720575940638360798,all,chemical,1
720575940603804350,720575940637210334,all,chemical,22
720575940603804350,720575940631839457,all,chemical,3
720575940603804350,720575940614492397,all,chemical,30
720575940603804350,720575940626023153,all,chemical,2
720575940603804350,720575940626688772,all,chemical,1
720575940603804350,720575940627652358,all,chemical,93
720575940603804350,720575940607982345,all,chemical,22
720575940603804350,720575940632472850,all,chemical,37
720575940603804350,720575940632807193,all,chemical,21
720575940603804350,720575940619038493,all,chemical,16
720575940603804350,720575940627715870,all,chemical,2
720575940603804350,720575940609799470,all,chemical,65
720575940603804350,720575940610505006,all,chemical,66
720575940603804350,720575940615723314,all,chemical,2
720575940603804350,720575940647882548,all,chemical,1
720575940603804350,720575940618002747,all,chemical,5
720575940603804350,720575940613502786,all,chemical,11
720575940603804350,720575940627111752,all,chemical,1
720575940603804350,720575940607774044,all,chemical,5
720575940603804350,720575940608144732,all,chemical,5
720575940603804350,720575940607982428,all,chemical,4
720575940603804350,720575940630006636,all,chemical,1
720575940603804350,720575940633665903,all,chemical,10
720575940603804350,720575940613891442,all,chemical,1
720575940603804350,720575940637074291,all,chemical,1
720575940603804350,720575940620988276,all,chemical,2
