neuron_id,super_class,class,cell_type,side,nt_type,nt_score
720575940602483424,visual_projection,,LC31b,left,ACH,0.82
720575940603452384,visual_projection,,LC16,left,ACH,0.57
720575940603637438,visual_projection,,LC4,right,ACH,0.67
720575940603804350,central,,PLP018,right,GABA,0.75
720575940603817900,visual_projection,,LPLC1,right,ACH,0.69
720575940603825120,central,,PVLP008,left,GLUT,0.76
720575940603942828,central,,PVLP112a,right,GABA,0.86
720575940603989420,visual_projection,,LPLC2,left,ACH,0.5
720575940604016608,visual_projection,,LPLC1,right,ACH,0.7
720575940604088288,central,,AVLP016,right,GLUT,0.46
720575940604165856,central,,VES007,left,ACH,0.84
720575940604285356,central,,CB3513b,right,GABA,0.68
720575940604337696,visual_projection,,LC16,left,ACH,0.51
720575940604470240,central,,CB0626,right,GABA,0.85
720575940604609056,visual_projection,,LPLC4,right,ACH,0.76
720575940604624998,central,,PVLP113,right,GABA,0.73
720575940604737708,descending,,DNa02,right,ACH,0.79
720575940604749758,visual_projection,,LC16,left,ACH,0.56
720575940604954289,descending,,DNp04,left,ACH,0.82
720575940605218220,central,,CB0200,right,GLUT,0.58
720575940605242242,visual_projection,,LC16,right,ACH,0.66
720575940605598892,visual_projection,,LC4,left,ACH,0.54
720575940605825666,visual_projection,,LPLC2,right,ACH,0.63
720575940606112940,descending,,DNg13,right,ACH,0.71
720575940606126438,visual_projection,,LPLC2,left,ACH,0.64
720575940606173630,visual_projection,,LC16,right,ACH,0.57
720575940606217138,visual_projection,,LPLC2,right,ACH,0.44
720575940606218528,central,,CB0563,right,GABA,0.68
720575940606564482,central,,PS018a,right,ACH,0.67
720575940606608230,optic,LO,Li24,right,GABA,0.7
720575940606693297,central,,PVLP124,right,ACH,0.77
720575940606726834,central,,LAL081,left,ACH,0.9
720575940606739390,visual_projection,bilateral,LT66,right,ACH,0.83
720575940606855554,visual_projection,,LPLC2,right,ACH,0.43
720575940607361481,visual_projection,,LC16,right,ACH,0.7
720575940607683011,visual_projection,,LPLC2,right,ACH,0.56
720575940607765257,central,,PLP223,left,ACH,0.74
720575940607774044,central,,PLP012,right,ACH,0.83
720575940607800242,visual_projection,,LC31b,right,ACH,0.86
720575940607845250,visual_projection,,LPLC2,left,ACH,0.48
720575940607854531,visual_projection,,LPLC2,left,ACH,0.63
720575940607924098,visual_projection,,LC16,left,ACH,0.51
720575940607982345,central,,LAL053,right,GLUT,0.77
720575940607982428,central,,PS013,right,ACH,0.84
720575940608083780,central,,CL323a,right,ACH,0.64
720575940608088259,visual_projection,,LPLC2,left,ACH,0.69
720575940608120587,central,,PVLP122b,left,ACH,0.66
720575940608144732,central,,CB0677,right,GABA,0.86
720575940608302857,visual_projection,,LPLC1,left,ACH,0.69
720575940608336514,central,,AVLP536,right,GLUT,0.6
720575940608422958,visual_projection,,LPLC1,left,ACH,0.61
720575940608431625,central,,PVLP028,right,GABA,0.7
720575940608490435,visual_projection,,LC16,right,ACH,0.64
720575940608496196,visual_projection,,LPLC1,right,ACH,0.66
720575940608545219,central,,AVLP080,right,GABA,0.74
720575940608661955,visual_projection,,LT51,right,GLUT,0.71
720575940608845124,visual_projection,,LPLC4,right,ACH,0.81
720575940608875531,visual_projection,,LPLC2,left,ACH,0.6
720575940609010524,central,,CB0282,right,ACH,0.9
720575940609063236,visual_projection,,LPLC4,left,ACH,0.88
720575940609097429,descending,,DNae005,left,ACH,0.85
720575940609171395,central,,CB3983,left,ACH,0.83
720575940609234130,visual_projection,,LCe06,right,ACH,0.8
