pre_id,post_id,region,syn_type,syn_count
720575940600000655,720575940600129422,LA,chemical,101
720575940600000655,720575940600136704,LA,chemical,67
720575940600000655,720575940600142465,LA,chemical,58
720575940600000655,720575940600159629,LA,chemical,2
720575940600000655,720575940600175486,LA,chemical,34
720575940600001415,720575940600126563,LA,chemical,36
720575940600001415,720575940600144802,LA,chemical,17
720575940600001415,720575940600145516,LA,chemical,65
720575940600001644,720575940600133881,LA,chemical,2
720575940600001644,720575940600174444,LA,chemical,51
720575940600001749,720575940600132493,LA,chemical,11
720575940600001749,720575940600142465,LA,chemical,34
720575940600001749,720575940600151454,LA,chemical,32
720575940600001749,720575940600163014,LA,chemical,156
720575940600001749,720575940600165667,LA,chemical,14
720575940600002663,720575940600139963,LA,chemical,37
720575940600002663,720575940600144802,LA,chemical,18
720575940600002663,720575940600160266,LA,chemical,28
720575940600003268,720575940600153930,LA,chemical,24
720575940600003268,720575940600157739,LA,chemical,88
720575940600003268,720575940600171132,LA,chemical,20
720575940600003299,720575940600130961,LA,chemical,6
720575940600003299,720575940600146598,LA,chemical,185
720575940600003299,720575940600158536,LA,chemical,1
720575940600003299,720575940600163413,LA,chemical,32
720575940600003538,720575940600126563,LA,chemical,8
720575940600003538,720575940600133881,LA,chemical,36
720575940600003538,720575940600135951,LA,chemical,33
720575940600003538,720575940600150046,LA,chemical,10
720575940600003538,720575940600150986,LA,chemical,6
720575940600003538,720575940600155829,LA,chemical,17
720575940600003566,720575940600128662,LA,chemical,7
720575940600003566,720575940600135951,LA,chemical,70
720575940600003566,720575940600137326,LA,chemical,11
720575940600003566,720575940600139963,LA,chemical,135
720575940600003566,720575940600151930,LA,chemical,22
720575940600003566,720575940600170144,LA,chemical,108
720575940600004300,720575940600138495,LA,chemical,204
720575940600004300,720575940600138980,LA,chemical,32
720575940600004300,720575940600149281,LA,chemical,133
720575940600004300,720575940600153476,LA,chemical,18
720575940600004300,720575940600162324,LA,chemical,55
720575940600004300,720575940600163014,LA,chemical,71
720575940600004859,720575940600129624,LA,chemical,13
720575940600004859,720575940600133061,LA,chemical,12
720575940600004859,720575940600135951,LA,chemical,15
720575940600004859,720575940600136704,LA,chemical,17
720575940600004859,720575940600174444,LA,chemical,78
720575940600005319,720575940600132493,LA,chemical,76
720575940600005319,720575940600144802,LA,chemical,6
720575940600005319,720575940600147513,LA,chemical,36
720575940600005319,720575940600165667,LA,chemical,61
720575940600005319,720575940600175486,LA,chemical,23
720575940600006148,720575940600132493,LA,chemical,67
720575940600006148,720575940600133061,LA,chemical,90
720575940600006148,720575940600152503,LA,chemical,13
720575940600006148,720575940600160266,LA,chemical,18
720575940600006148,720575940600164817,LA,chemical,6
720575940600006926,720575940600132493,LA,chemical,49
720575940600006926,720575940600150986,LA,chemical,3
720575940600006926,720575940600155829,LA,chemical,7
720575940600006926,720575940600157739,LA,chemical,149
720575940600006926,720575940600161906,LA,chemical,1
720575940600007641,720575940600132493,LA,chemical,28
720575940600007641,720575940600136263,LA,chemical,7
720575940600007641,720575940600141173,LA,chemical,15
720575940600007641,720575940600161906,LA,chemical,41
720575940600007641,720575940600171132,LA,chemical,1
720575940600007641,720575940600172074,LA,chemical,4
720575940600007926,720575940600145516,LA,chemical,9
720575940600007926,720575940600162802,LA,chemical,43
720575940600007926,720575940600175486,LA,chemical,12
720575940600008907,720575940600139963,LA,chemical,25
720575940600008907,720575940600155104,LA,chemical,17
720575940600008907,720575940600160266,LA,chemical,153
720575940600008907,720575940600174219,LA,chemical,29
720575940600009012,720575940600131397,LA,chemical,1
720575940600009012,720575940600135389,LA,chemical,11
720575940600009012,720575940600160975,LA,chemical,32
720575940600009012,720575940600168156,LA,chemical,65
720575940600009112,720575940600130961,LA,chemical,26
720575940600009112,720575940600132080,LA,chemical,37
720575940600009112,720575940600151454,LA,chemical,24
720575940600009112,720575940600152503,LA,chemical,14
720575940600009112,720575940600155104,LA,chemical,95
720575940600009112,720575940600174305,LA,chemical,76
