neuron_id,super_class,class,cell_type,side,nt_type,nt_score
720575940600000655,sensory,visual,R1-6,left,HA,0.64
720575940600001415,sensory,visual,R1-6,left,HA,0.71
720575940600001644,sensory,visual,R1-6,left,HA,0.65
720575940600001749,sensory,visual,R1-6,left,HA,0.86
720575940600002663,sensory,visual,R1-6,left,HA,0.81
720575940600003268,sensory,visual,R1-6,left,HA,0.76
720575940600003299,sensory,visual,R1-6,left,HA,0.64
720575940600003538,sensory,visual,R1-6,left,HA,0.8
720575940600003566,sensory,visual,R1-6,left,HA,0.82
720575940600004300,sensory,visual,R1-6,left,HA,0.85
720575940600004859,sensory,visual,R1-6,left,HA,0.76
720575940600005319,sensory,visual,R1-6,left,HA,0.83
720575940600006148,sensory,visual,R1-6,left,HA,0.94
720575940600006926,sensory,visual,R1-6,left,HA,0.91
720575940600007641,sensory,visual,R1-6,left,HA,0.76
720575940600007926,sensory,visual,R1-6,left,HA,0.66
720575940600008907,sensory,visual,R1-6,left,HA,0.9
720575940600009012,sensory,visual,R1-6,left,HA,0.64
720575940600009112,sensory,visual,R1-6,left,HA,0.74
720575940600009465,sensory,visual,R1-6,left,HA,0.84
720575940600010292,sensory,visual,R1-6,left,HA,0.62
720575940600010763,sensory,visual,R1-6,left,HA,0.81
720575940600011760,sensory,visual,R1-6,left,HA,0.96
720575940600011841,sensory,visual,R1-6,left,HA,0.82
720575940600012691,sensory,visual,R1-6,left,HA,0.85
720575940600013598,sensory,visual,R1-6,left,HA,0.94
720575940600014190,sensory,visual,R1-6,left,HA,0.67
720575940600014262,sensory,visual,R1-6,left,HA,0.62
720575940600014496,sensory,visual,R1-6,left,HA,0.9
720575940600014578,sensory,visual,R1-6,left,HA,0.93
720575940600015466,sensory,visual,R1-6,left,HA,0.64
720575940600015751,sensory,visual,R1-6,left,HA,0.78
720575940600016606,sensory,visual,R1-6,left,HA,0.74
720575940600016986,sensory,visual,R1-6,left,HA,0.74
720575940600017673,sensory,visual,R1-6,left,HA,0.7
720575940600018633,sensory,visual,R1-6,left,HA,0.87
720575940600018707,sensory,visual,R1-6,left,HA,0.84
720575940600018883,sensory,visual,R1-6,left,HA,0.81
720575940600019134,sensory,visual,R1-6,left,HA,0.66
720575940600019523,sensory,visual,R1-6,left,HA,0.71
720575940600020471,sensory,visual,R1-6,left,HA,0.85
720575940600021042,sensory,visual,R1-6,left,HA,0.69
720575940600021375,sensory,visual,R1-6,left,HA,0.93
720575940600022170,sensory,visual,R1-6,left,HA,0.62
720575940600023012,sensory,visual,R1-6,left,HA,0.61
720575940600023336,sensory,visual,R1-6,left,HA,0.76
720575940600023404,sensory,visual,R1-6,left,HA,0.68
720575940600024370,sensory,visual,R1-6,left,HA,0.82
720575940600025106,sensory,visual,R1-6,left,HA,0.72
720575940600025778,sensory,visual,R1-6,left,HA,0.79
720575940600026684,sensory,visual,R1-6,left,HA,0.96
720575940600027154,sensory,visual,R1-6,left,HA,0.66
720575940600027297,sensory,visual,R1-6,left,HA,0.7
720575940600027872,sensory,visual,R1-6,left,HA,0.81
720575940600028637,sensory,visual,R1-6,left,HA,0.83
720575940600029557,sensory,visual,R1-6,left,HA,0.83
720575940600029928,sensory,visual,R1-6,left,HA,0.69
720575940600030070,sensory,visual,R1-6,left,HA,0.8
720575940600030164,sensory,visual,R1-6,left,HA,0.89
720575940600031046,sensory,visual,R1-6,left,HA,0.64
720575940600031689,sensory,visual,R1-6,left,HA,0.66
720575940600032386,sensory,visual,R1-6,left,HA,0.76
720575940600032452,sensory,visual,R1-6,left,HA,0.75
720575940600033063,sensory,visual,R1-6,left,HA,0.99
720575940600033605,sensory,visual,R1-6,left,HA,0.7
720575940600034172,sensory,visual,R1-6,left,HA,0.94
720575940600034184,sensory,visual,R1-6,left,HA,0.87
720575940600034302,sensory,visual,R1-6,left,HA,0.87
720575940600034852,sensory,visual,R1-6,left,HA,0.89
720575940600035640,sensory,visual,R1-6,left,HA,0.85
720575940600035755,sensory,visual,R1-6,left,HA,0.71
720575940600035917,sensory,visual,R1-6,left,HA,0.78
720575940600036894,sensory,visual,R1-6,left,HA,0.88
720575940600037631,sensory,visual,R1-6,left,HA,0.7
720575940600038144,sensory,visual,R1-6,left,HA,0.9
720575940600038664,sensory,visual,R1-6,left,HA,0.96
720575940600039556,sensory,visual,R1-6,left,HA,0.84
720575940600040418,sensory,visual,R1-6,left,HA,0.85
720575940600041042,sensory,visual,R1-6,left,HA,0.68
720575940600041425,sensory,visual,R1-6,left,HA,0.9
720575940600041978,sensory,visual,R1-6,left,HA,0.97
720575940600042923,sensory,visual,R1-6,left,HA,0.81
720575940600042924,sensory,visual,R1-6,left,HA,0.83
720575940600043425,sensory,visual,R1-6,left,HA,0.61
720575940600044377,sensory,visual,R1-6,left,HA,0.74
720575940600045229,sensory,visual,R1-6,left,HA,0.91
720575940600045475,sensory,visual,R1-6,left,HA,0.62
720575940600046375,sensory,visual,R1-6,left,HA,0.82
720575940600046456,sensory,visual,R1-6,left,HA,0.63
720575940600046954,sensory,visual,R1-6,left,HA,0.92
720575940600047733,sensory,visual,R1-6,left,HA,0.81
720575940600047862,sensory,visual,R1-6,left,HA,0.65
720575940600048349,sensory,visual,R1-6,left,HA,0.97
720575940600048519,sensory,visual,R1-6,left,HA,0.7
720575940600049413,sensory,visual,R1-6,left,HA,0.84
720575940600050401,sensory,visual,R1-6,left,HA,0.68
720575940600050954,sensory,visual,R1-6,left,HA,0.89
720575940600051661,sensory,visual,R1-6,left,HA,0.68
720575940600051981,sensory,visual,R1-6,left,HA,0.76
720575940600052669,sensory,visual,R1-6,left,HA,0.85
720575940600053118,sensory,visual,R1-6,left,HA,0.95
720575940600053581,sensory,visual,R1-6,left,HA,0.65
720575940600053812,sensory,visual,R1-6,left,HA,0.62
720575940600053834,sensory,visual,R1-6,left,HA,0.83
720575940600054070,sensory,visual,R1-6,left,HA,0.83
720575940600054078,sensory,visual,R1-6,left,HA,0.63
720575940600054725,sensory,visual,R1-6,left,HA,0.62
720575940600054795,sensory,visual,R1-6,left,HA,0.95
720575940600055676,sensory,visual,R1-6,left,HA,0.73
720575940600056203,sensory,visual,R1-6,left,HA,0.69
720575940600056889,sensory,visual,R1-6,left,HA,0.79
720575940600057442,sensory,visual,R1-6,left,HA,0.65
720575940600058400,sensory,visual,R1-6,left,HA,0.94
720575940600058991,sensory,visual,R1-6,left,HA,0.78
720575940600059795,sensory,visual,R1-6,left,HA,0.78
720575940600060212,sensory,visual,R1-6,left,HA,0.67
720575940600060312,sensory,visual,R1-6,left,HA,0.86
720575940600060675,sensory,visual,R1-6,left,HA,0.77
720575940600061154,sensory,visual,R1-6,left,HA,0.94
720575940600061210,sensory,visual,R1-6,left,HA,0.86
720575940600061872,sensory,visual,R1-6,right,HA,0.64
720575940600062285,sensory,visual,R1-6,right,HA,0.88
720575940600063105,sensory,visual,R1-6,right,HA,0.94
720575940600063360,sensory,visual,R1-6,right,HA,0.67
720575940600063910,sensory,visual,R1-6,right,HA,0.77
720575940600064343,sensory,visual,R1-6,right,HA,0.67
720575940600064817,sensory,visual,R1-6,right,HA,0.7
720575940600065763,sensory,visual,R1-6,right,HA,0.63
720575940600066591,sensory,visual,R1-6,right,HA,0.94
720575940600067155,sensory,visual,R1-6,right,HA,0.64
720575940600067823,sensory,visual,R1-6,right,HA,0.99
720575940600068680,sensory,visual,R1-6,right,HA,0.61
720575940600068776,sensory,visual,R1-6,right,HA,0.96
720575940600069646,sensory,visual,R1-6,right,HA,0.69
720575940600070063,sensory,visual,R1-6,right,HA,0.79
720575940600070282,sensory,visual,R1-6,right,HA,0.94
720575940600071207,sensory,visual,R1-6,right,HA,0.62
720575940600071596,sensory,visual,R1-6,right,HA,0.6
720575940600071996,sensory,visual,R1-6,right,HA,0.7
720575940600072799,sensory,visual,R1-6,right,HA,0.91
720575940600073092,sensory,visual,R1-6,right,HA,0.76
720575940600074073,sensory,visual,R1-6,right,HA,0.88
720575940600074876,sensory,visual,R1-6,right,HA,0.82
720575940600075612,sensory,visual,R1-6,right,HA,0.79
720575940600075807,sensory,visual,R1-6,right,HA,0.72
720575940600076799,sensory,visual,R1-6,right,HA,0.62
720575940600077553,sensory,visual,R1-6,right,HA,0.81
720575940600078319,sensory,visual,R1-6,right,HA,0.72
720575940600078371,sensory,visual,R1-6,right,HA,0.83
720575940600078886,sensory,visual,R1-6,right,HA,0.96
720575940600079430,sensory,visual,R1-6,right,HA,0.66
720575940600080414,sensory,visual,R1-6,right,HA,0.8
720575940600081286,sensory,visual,R1-6,right,HA,0.67
720575940600081896,sensory,visual,R1-6,right,HA,0.63
720575940600082779,sensory,visual,R1-6,right,HA,0.69
720575940600082902,sensory,visual,R1-6,right,HA,0.97
720575940600083486,sensory,visual,R1-6,right,HA,0.7
720575940600084095,sensory,visual,R1-6,right,HA,0.62
720575940600084179,sensory,visual,R1-6,right,HA,0.76
720575940600084777,sensory,visual,R1-6,right,HA,0.82
720575940600085101,sensory,visual,R1-6,right,HA,0.96
720575940600085311,sensory,visual,R1-6,right,HA,0.86
720575940600085633,sensory,visual,R1-6,right,HA,0.69
720575940600086039,sensory,visual,R1-6,right,HA,0.65
720575940600086700,sensory,visual,R1-6,right,HA,0.72
720575940600087024,sensory,visual,R1-6,right,HA,0.96
720575940600087983,sensory,visual,R1-6,right,HA,0.63
720575940600088453,sensory,visual,R1-6,right,HA,0.84
720575940600089030,sensory,visual,R1-6,right,HA,0.99
720575940600089106,sensory,visual,R1-6,right,HA,0.81
720575940600089625,sensory,visual,R1-6,right,HA,0.7
720575940600090581,sensory,visual,R1-6,right,HA,0.74
720575940600090652,sensory,visual,R1-6,right,HA,0.94
720575940600091031,sensory,visual,R1-6,right,HA,0.71
720575940600091480,sensory,visual,R1-6,right,HA,0.93
720575940600092201,sensory,visual,R1-6,right,HA,0.72
720575940600093028,sensory,visual,R1-6,right,HA,0.86
720575940600093037,sensory,visual,R1-6,right,HA,0.86
720575940600093605,sensory,visual,R1-6,right,HA,0.72
720575940600094285,sensory,visual,R1-6,right,HA,0.64
720575940600095185,sensory,visual,R1-6,right,HA,0.65
720575940600095304,sensory,visual,R1-6,right,HA,0.95
720575940600096065,sensory,visual,R1-6,right,HA,0.82
720575940600096344,sensory,visual,R1-6,right,HA,0.71
720575940600096560,sensory,visual,R1-6,right,HA,0.88
720575940600096769,sensory,visual,R1-6,right,HA,0.87
720575940600097643,sensory,visual,R1-6,right,HA,0.7
720575940600098144,sensory,visual,R1-6,right,HA,0.7
720575940600099074,sensory,visual,R1-6,right,HA,0.93
720575940600099169,sensory,visual,R1-6,right,HA,0.85
720575940600100019,sensory,visual,R1-6,right,HA,0.71
720575940600100023,sensory,visual,R1-6,right,HA,0.73
720575940600100157,sensory,visual,R1-6,right,HA,0.85
720575940600100426,sensory,visual,R1-6,right,HA,0.66
720575940600100879,sensory,visual,R1-6,right,HA,0.82
720575940600101317,sensory,visual,R1-6,right,HA,0.82
720575940600101432,sensory,visual,R1-6,right,HA,0.63
720575940600102337,sensory,visual,R1-6,right,HA,0.87
720575940600102490,sensory,visual,R1-6,right,HA,0.81
720575940600103345,sensory,visual,R1-6,right,HA,0.74
720575940600103911,sensory,visual,R1-6,right,HA,0.66
